12:08:47 PM	NaN
12:08:47 PM	NaN
12:08:48 PM	NaN
12:08:48 PM	NaN
12:08:49 PM	NaN
12:08:49 PM	NaN
12:08:50 PM	NaN
12:08:50 PM	NaN
12:08:51 PM	NaN
12:08:51 PM	NaN
12:08:52 PM	NaN
12:08:52 PM	NaN
12:08:53 PM	NaN
12:08:53 PM	NaN
12:08:54 PM	NaN
12:08:54 PM	NaN
12:08:55 PM	NaN
12:08:55 PM	NaN
12:08:56 PM	NaN
12:08:56 PM	NaN
12:08:57 PM	NaN
12:08:57 PM	NaN
12:08:58 PM	NaN
12:08:58 PM	NaN
12:08:59 PM	NaN
12:08:59 PM	NaN
12:09:00 PM	NaN
12:09:00 PM	NaN
12:09:01 PM	NaN
12:09:01 PM	NaN
12:09:02 PM	NaN
12:09:02 PM	NaN
12:09:03 PM	NaN
12:09:03 PM	NaN
12:09:04 PM	NaN
12:09:04 PM	NaN
12:09:05 PM	NaN
12:09:05 PM	NaN
12:09:06 PM	NaN
12:09:06 PM	NaN
12:09:07 PM	NaN
12:09:07 PM	NaN
12:09:08 PM	NaN
12:09:08 PM	NaN
12:09:09 PM	NaN
12:09:09 PM	NaN
12:09:10 PM	NaN
12:09:10 PM	NaN
12:09:11 PM	NaN
12:09:11 PM	NaN
12:09:12 PM	NaN
12:09:12 PM	NaN
12:09:13 PM	NaN
12:09:13 PM	NaN
12:09:14 PM	NaN
12:09:14 PM	NaN
12:09:15 PM	NaN
12:09:15 PM	NaN
12:09:16 PM	NaN
12:09:16 PM	NaN
12:09:17 PM	NaN
12:09:17 PM	NaN
12:09:18 PM	NaN
12:09:18 PM	NaN
12:09:19 PM	NaN
12:09:19 PM	NaN
12:09:20 PM	NaN
12:09:20 PM	NaN
12:09:21 PM	NaN
12:09:21 PM	NaN
12:09:22 PM	NaN
12:09:22 PM	NaN
12:09:23 PM	NaN
12:09:23 PM	NaN
12:09:24 PM	NaN
12:09:24 PM	NaN
12:09:25 PM	NaN
12:09:25 PM	NaN
12:09:26 PM	NaN
12:09:26 PM	NaN
12:09:27 PM	NaN
12:09:27 PM	NaN
12:09:28 PM	NaN
12:09:28 PM	NaN
12:09:29 PM	NaN
12:09:29 PM	NaN
12:09:30 PM	NaN
12:09:30 PM	NaN
12:09:31 PM	NaN
12:09:31 PM	NaN
12:09:32 PM	NaN
12:09:32 PM	NaN
12:09:33 PM	NaN
12:09:33 PM	NaN
12:09:34 PM	NaN
12:09:34 PM	NaN
12:09:35 PM	NaN
12:09:35 PM	NaN
12:09:36 PM	NaN
12:09:36 PM	NaN
12:09:37 PM	NaN
12:09:37 PM	NaN
12:09:38 PM	NaN
12:09:38 PM	NaN
12:09:39 PM	NaN
12:09:39 PM	NaN
12:09:40 PM	NaN
12:09:40 PM	NaN
12:09:41 PM	NaN
12:09:41 PM	NaN
12:09:42 PM	NaN
12:09:42 PM	NaN
12:09:43 PM	NaN
12:09:43 PM	NaN
12:09:44 PM	NaN
12:09:44 PM	NaN
12:09:45 PM	NaN
12:09:45 PM	NaN
12:09:46 PM	NaN
12:09:46 PM	NaN
12:09:47 PM	NaN
12:09:47 PM	NaN
12:09:48 PM	NaN
12:09:48 PM	NaN
12:09:49 PM	NaN
12:09:49 PM	NaN
12:09:50 PM	NaN
12:09:50 PM	NaN
12:09:51 PM	NaN
12:09:51 PM	NaN
12:09:52 PM	NaN
12:09:52 PM	NaN
12:09:53 PM	NaN
12:09:53 PM	NaN
12:09:54 PM	NaN
12:09:54 PM	NaN
12:09:55 PM	NaN
12:09:55 PM	NaN
12:09:56 PM	NaN
12:09:56 PM	NaN
12:09:57 PM	NaN
12:09:57 PM	NaN
12:09:58 PM	NaN
12:09:58 PM	NaN
12:09:59 PM	NaN
12:09:59 PM	NaN
12:10:00 PM	NaN
12:10:00 PM	NaN
12:10:01 PM	NaN
12:10:01 PM	NaN
12:10:02 PM	NaN
12:10:02 PM	NaN
12:10:03 PM	NaN
12:10:03 PM	NaN
12:10:04 PM	NaN
12:10:04 PM	NaN
12:10:05 PM	NaN
12:10:05 PM	NaN
12:10:06 PM	NaN
12:10:06 PM	NaN
12:10:07 PM	NaN
12:10:07 PM	NaN
12:10:08 PM	NaN
12:10:08 PM	NaN
12:10:09 PM	NaN
12:10:09 PM	NaN
12:10:10 PM	NaN
12:10:10 PM	NaN
12:10:11 PM	NaN
12:10:11 PM	NaN
12:10:12 PM	NaN
12:10:12 PM	NaN
12:10:13 PM	NaN
12:10:13 PM	NaN
12:10:14 PM	NaN
12:10:14 PM	NaN
12:10:15 PM	NaN
12:10:15 PM	NaN
12:10:16 PM	NaN
12:10:16 PM	NaN
12:10:17 PM	NaN
12:10:17 PM	NaN
12:10:18 PM	NaN
12:10:18 PM	NaN
12:10:19 PM	NaN
12:10:19 PM	NaN
12:10:20 PM	NaN
12:10:20 PM	NaN
12:10:21 PM	NaN
12:10:21 PM	NaN
12:10:22 PM	NaN
12:10:22 PM	NaN
12:10:23 PM	NaN
12:10:23 PM	NaN
12:10:24 PM	NaN
12:10:24 PM	NaN
12:10:25 PM	NaN
12:10:25 PM	NaN
12:10:26 PM	NaN
12:10:26 PM	NaN
12:10:27 PM	NaN
12:10:27 PM	NaN
12:10:28 PM	NaN
12:10:28 PM	NaN
12:10:29 PM	NaN
12:10:29 PM	NaN
12:10:30 PM	NaN
12:10:30 PM	NaN
12:10:31 PM	NaN
12:10:31 PM	NaN
12:10:32 PM	NaN
12:10:32 PM	NaN
12:10:33 PM	NaN
12:10:33 PM	NaN
12:10:34 PM	NaN
12:10:35 PM	NaN
12:10:35 PM	NaN
12:10:36 PM	NaN
12:10:36 PM	NaN
12:10:37 PM	NaN
12:10:37 PM	NaN
12:10:38 PM	NaN
12:10:38 PM	NaN
12:10:39 PM	NaN
12:10:39 PM	NaN
12:10:40 PM	NaN
12:10:40 PM	NaN
12:10:41 PM	NaN
12:10:41 PM	NaN
12:10:42 PM	NaN
12:10:42 PM	NaN
12:10:43 PM	NaN
12:10:43 PM	NaN
12:10:44 PM	NaN
12:10:44 PM	NaN
12:10:45 PM	NaN
12:10:45 PM	NaN
12:10:46 PM	NaN
12:10:46 PM	NaN
12:10:47 PM	NaN
12:10:47 PM	NaN
12:10:48 PM	NaN
12:10:48 PM	NaN
12:10:49 PM	NaN
12:10:49 PM	NaN
12:10:50 PM	NaN
12:10:50 PM	NaN
12:10:51 PM	NaN
12:10:51 PM	NaN
12:10:52 PM	NaN
12:10:52 PM	NaN
12:10:53 PM	NaN
12:10:53 PM	NaN
12:10:54 PM	NaN
12:10:54 PM	NaN
12:10:55 PM	NaN
12:10:55 PM	NaN
12:10:56 PM	NaN
12:10:56 PM	NaN
12:10:57 PM	NaN
12:10:57 PM	NaN
12:10:58 PM	NaN
12:10:58 PM	NaN
12:10:59 PM	NaN
12:10:59 PM	NaN
12:11:00 PM	NaN
12:11:00 PM	NaN
12:11:01 PM	NaN
12:11:01 PM	NaN
12:11:02 PM	NaN
12:11:02 PM	NaN
12:11:03 PM	NaN
12:11:03 PM	NaN
12:11:04 PM	NaN
12:11:04 PM	NaN
12:11:05 PM	NaN
12:11:05 PM	NaN
12:11:06 PM	NaN
12:11:06 PM	NaN
12:11:07 PM	NaN
12:11:07 PM	NaN
12:11:08 PM	NaN
12:11:08 PM	NaN
12:11:09 PM	NaN
12:11:09 PM	NaN
12:11:10 PM	NaN
12:11:10 PM	NaN
12:11:11 PM	NaN
12:11:11 PM	NaN
12:11:12 PM	NaN
12:11:12 PM	NaN
12:11:13 PM	NaN
12:11:13 PM	NaN
12:11:14 PM	NaN
12:11:14 PM	NaN
12:11:15 PM	NaN
12:11:15 PM	NaN
12:11:16 PM	NaN
12:11:16 PM	NaN
12:11:17 PM	NaN
12:11:17 PM	NaN
12:11:18 PM	NaN
12:11:18 PM	NaN
12:11:19 PM	NaN
12:11:19 PM	NaN
12:11:20 PM	NaN
12:11:20 PM	NaN
12:11:21 PM	NaN
12:11:21 PM	NaN
12:11:22 PM	NaN
12:11:22 PM	NaN
12:11:23 PM	NaN
12:11:23 PM	NaN
12:11:24 PM	NaN
12:11:24 PM	NaN
12:11:25 PM	NaN
12:11:25 PM	NaN
12:11:26 PM	NaN
12:11:26 PM	NaN
12:11:27 PM	NaN
12:11:27 PM	NaN
12:11:28 PM	NaN
12:11:28 PM	NaN
12:11:29 PM	NaN
12:11:29 PM	NaN
12:11:30 PM	NaN
12:11:30 PM	NaN
12:11:31 PM	NaN
12:11:31 PM	NaN
12:11:32 PM	NaN
12:11:32 PM	NaN
12:11:33 PM	NaN
12:11:33 PM	NaN
12:11:34 PM	NaN
12:11:34 PM	NaN
12:11:35 PM	NaN
12:11:35 PM	NaN
12:11:36 PM	NaN
12:11:36 PM	NaN
12:11:37 PM	NaN
12:11:37 PM	NaN
12:11:38 PM	NaN
12:11:38 PM	NaN
12:11:39 PM	NaN
12:11:39 PM	NaN
12:11:40 PM	NaN
12:11:40 PM	NaN
12:11:41 PM	NaN
12:11:41 PM	NaN
12:11:42 PM	NaN
12:11:42 PM	NaN
12:11:43 PM	NaN
12:11:43 PM	NaN
12:11:44 PM	NaN
12:11:44 PM	NaN
12:11:45 PM	NaN
12:11:45 PM	NaN
12:11:46 PM	NaN
12:11:46 PM	NaN
12:11:47 PM	NaN
12:11:47 PM	NaN
12:11:48 PM	NaN
12:11:48 PM	NaN
12:11:49 PM	NaN
12:11:49 PM	NaN
12:11:50 PM	NaN
12:11:50 PM	NaN
12:11:51 PM	NaN
12:11:51 PM	NaN
12:11:52 PM	NaN
12:11:52 PM	NaN
12:11:53 PM	NaN
12:11:53 PM	NaN
12:11:54 PM	NaN
12:11:54 PM	NaN
12:11:55 PM	NaN
12:11:55 PM	NaN
12:11:56 PM	NaN
12:11:56 PM	NaN
12:11:57 PM	NaN
12:11:57 PM	NaN
12:11:58 PM	NaN
12:11:58 PM	NaN
12:11:59 PM	NaN
12:11:59 PM	NaN
12:12:00 PM	NaN
12:12:00 PM	NaN
12:12:01 PM	NaN
12:12:01 PM	NaN
12:12:02 PM	NaN
12:12:02 PM	NaN
12:12:03 PM	NaN
12:12:03 PM	NaN
12:12:04 PM	NaN
12:12:04 PM	NaN
12:12:05 PM	NaN
12:12:05 PM	NaN
12:12:06 PM	NaN
12:12:06 PM	NaN
12:12:07 PM	NaN
12:12:07 PM	NaN
12:12:08 PM	NaN
12:12:08 PM	NaN
12:12:09 PM	NaN
12:12:09 PM	NaN
12:12:10 PM	NaN
12:12:10 PM	NaN
12:12:11 PM	NaN
12:12:11 PM	NaN
12:12:12 PM	NaN
12:12:12 PM	NaN
12:12:13 PM	NaN
12:12:13 PM	NaN
12:12:14 PM	NaN
12:12:14 PM	NaN
12:12:15 PM	NaN
12:12:15 PM	NaN
12:12:16 PM	NaN
12:12:16 PM	NaN
12:12:17 PM	NaN
12:12:17 PM	NaN
12:12:18 PM	NaN
12:12:18 PM	NaN
12:12:19 PM	NaN
12:12:19 PM	NaN
12:12:20 PM	NaN
12:12:20 PM	NaN
12:12:21 PM	NaN
12:12:21 PM	NaN
12:12:22 PM	NaN
12:12:22 PM	NaN
12:12:23 PM	NaN
12:12:23 PM	NaN
12:12:24 PM	NaN
12:12:24 PM	NaN
12:12:25 PM	NaN
12:12:25 PM	NaN
12:12:26 PM	NaN
12:12:26 PM	NaN
12:12:27 PM	NaN
12:12:27 PM	NaN
12:12:28 PM	NaN
12:12:28 PM	NaN
12:12:29 PM	NaN
12:12:29 PM	NaN
12:12:30 PM	NaN
12:12:30 PM	NaN
12:12:31 PM	NaN
12:12:31 PM	NaN
12:12:32 PM	NaN
12:12:32 PM	NaN
12:12:33 PM	NaN
12:12:33 PM	NaN
12:12:34 PM	NaN
12:12:34 PM	NaN
12:12:35 PM	NaN
12:12:35 PM	NaN
12:12:36 PM	NaN
12:12:36 PM	NaN
12:12:37 PM	NaN
12:12:37 PM	NaN
12:12:38 PM	NaN
12:12:38 PM	NaN
12:12:39 PM	NaN
12:12:39 PM	NaN
12:12:40 PM	NaN
12:12:40 PM	NaN
12:12:41 PM	NaN
12:12:41 PM	NaN
12:12:42 PM	NaN
12:12:42 PM	NaN
12:12:43 PM	NaN
12:12:43 PM	NaN
12:12:44 PM	NaN
12:12:44 PM	NaN
12:12:45 PM	NaN
12:12:45 PM	NaN
12:12:46 PM	NaN
12:12:46 PM	NaN
12:12:47 PM	NaN
12:12:47 PM	NaN
12:12:48 PM	NaN
12:12:48 PM	NaN
12:12:49 PM	NaN
12:12:49 PM	NaN
12:12:50 PM	NaN
12:12:50 PM	NaN
12:12:51 PM	NaN
12:12:51 PM	NaN
12:12:52 PM	NaN
12:12:52 PM	NaN
12:12:53 PM	NaN
12:12:53 PM	NaN
12:12:54 PM	NaN
12:12:54 PM	NaN
12:12:55 PM	NaN
12:12:55 PM	NaN
12:12:56 PM	NaN
12:12:56 PM	NaN
12:12:57 PM	NaN
12:12:57 PM	NaN
12:12:58 PM	NaN
12:12:58 PM	NaN
12:12:59 PM	NaN
12:12:59 PM	NaN
12:13:00 PM	NaN
12:13:00 PM	NaN
12:13:01 PM	NaN
12:13:01 PM	NaN
12:13:02 PM	NaN
12:13:02 PM	NaN
12:13:03 PM	NaN
12:13:03 PM	NaN
12:13:04 PM	NaN
12:13:04 PM	NaN
12:13:05 PM	NaN
12:13:05 PM	NaN
12:13:06 PM	NaN
12:13:06 PM	NaN
12:13:07 PM	NaN
12:13:07 PM	NaN
12:13:08 PM	NaN
12:13:08 PM	NaN
12:13:09 PM	NaN
12:13:09 PM	NaN
12:13:10 PM	NaN
12:13:10 PM	NaN
12:13:11 PM	NaN
12:13:11 PM	NaN
12:13:12 PM	NaN
12:13:12 PM	NaN
12:13:13 PM	NaN
12:13:14 PM	NaN
12:13:14 PM	NaN
12:13:15 PM	NaN
12:13:15 PM	NaN
12:13:16 PM	NaN
12:13:16 PM	NaN
12:13:17 PM	NaN
12:13:17 PM	NaN
12:13:18 PM	NaN
12:13:18 PM	NaN
12:13:19 PM	NaN
12:13:19 PM	NaN
12:13:20 PM	NaN
12:13:20 PM	NaN
12:13:21 PM	NaN
12:13:21 PM	NaN
12:13:22 PM	NaN
12:13:22 PM	NaN
12:13:23 PM	NaN
12:13:23 PM	NaN
12:13:24 PM	NaN
12:13:24 PM	NaN
12:13:25 PM	NaN
12:13:25 PM	NaN
12:13:26 PM	NaN
12:13:26 PM	NaN
12:13:27 PM	NaN
12:13:27 PM	NaN
12:13:28 PM	NaN
12:13:28 PM	NaN
12:13:29 PM	NaN
12:13:29 PM	NaN
12:13:30 PM	NaN
12:13:30 PM	NaN
12:13:31 PM	NaN
12:13:31 PM	NaN
12:13:32 PM	NaN
12:13:32 PM	NaN
12:13:33 PM	NaN
12:13:33 PM	NaN
12:13:34 PM	NaN
12:13:34 PM	NaN
12:13:35 PM	NaN
12:13:35 PM	NaN
12:13:36 PM	NaN
12:13:36 PM	NaN
12:13:37 PM	NaN
12:13:37 PM	NaN
12:13:38 PM	NaN
12:13:38 PM	NaN
12:13:39 PM	NaN
12:13:39 PM	NaN
12:13:40 PM	NaN
12:13:40 PM	NaN
12:13:41 PM	NaN
12:13:41 PM	NaN
12:13:42 PM	NaN
12:13:42 PM	NaN
12:13:43 PM	NaN
12:13:43 PM	NaN
12:13:44 PM	NaN
12:13:44 PM	NaN
12:13:45 PM	NaN
12:13:45 PM	NaN
12:13:46 PM	NaN
12:13:46 PM	NaN
12:13:47 PM	NaN
12:13:47 PM	NaN
12:13:48 PM	NaN
12:13:48 PM	NaN
12:13:49 PM	NaN
12:13:49 PM	NaN
12:13:50 PM	NaN
12:13:50 PM	NaN
12:13:51 PM	NaN
12:13:51 PM	NaN
12:13:52 PM	NaN
12:13:52 PM	NaN
12:13:53 PM	NaN
12:13:53 PM	NaN
12:13:54 PM	NaN
12:13:54 PM	NaN
12:13:55 PM	NaN
12:13:55 PM	NaN
12:13:56 PM	NaN
12:13:56 PM	NaN
12:13:57 PM	NaN
12:13:57 PM	NaN
12:13:58 PM	NaN
12:13:58 PM	NaN
12:13:59 PM	NaN
12:13:59 PM	NaN
12:14:00 PM	NaN
12:14:00 PM	NaN
12:14:01 PM	NaN
12:14:01 PM	NaN
12:14:02 PM	NaN
12:14:02 PM	NaN
12:14:03 PM	NaN
12:14:03 PM	NaN
12:14:04 PM	NaN
12:14:04 PM	NaN
12:14:05 PM	NaN
12:14:05 PM	NaN
12:14:06 PM	NaN
12:14:06 PM	NaN
12:14:07 PM	NaN
12:14:07 PM	NaN
12:14:08 PM	NaN
12:14:08 PM	NaN
12:14:09 PM	NaN
12:14:09 PM	NaN
12:14:10 PM	NaN
12:14:10 PM	NaN
12:14:11 PM	NaN
12:14:11 PM	NaN
12:14:12 PM	NaN
12:14:12 PM	NaN
12:14:13 PM	NaN
12:14:13 PM	NaN
12:14:14 PM	NaN
12:14:14 PM	NaN
12:14:15 PM	NaN
12:14:15 PM	NaN
12:14:16 PM	NaN
12:14:16 PM	NaN
12:14:17 PM	NaN
12:14:17 PM	NaN
12:14:18 PM	NaN
12:14:18 PM	NaN
12:14:19 PM	NaN
12:14:19 PM	NaN
12:14:20 PM	NaN
12:14:20 PM	NaN
12:14:21 PM	NaN
12:14:21 PM	NaN
12:14:22 PM	NaN
12:14:22 PM	NaN
12:14:23 PM	NaN
12:14:23 PM	NaN
12:14:24 PM	NaN
12:14:24 PM	NaN
12:14:25 PM	NaN
12:14:25 PM	NaN
12:14:26 PM	NaN
12:14:26 PM	NaN
12:14:27 PM	NaN
12:14:27 PM	NaN
12:14:28 PM	NaN
12:14:28 PM	NaN
12:14:29 PM	NaN
12:14:29 PM	NaN
12:14:30 PM	NaN
12:14:30 PM	NaN
12:14:31 PM	NaN
12:14:31 PM	NaN
12:14:32 PM	NaN
12:14:32 PM	NaN
12:14:33 PM	NaN
12:14:33 PM	NaN
12:14:34 PM	NaN
12:14:34 PM	NaN
12:14:35 PM	NaN
12:14:35 PM	NaN
12:14:36 PM	NaN
12:14:36 PM	NaN
12:14:37 PM	NaN
12:14:37 PM	NaN
12:14:38 PM	NaN
12:14:38 PM	NaN
12:14:39 PM	NaN
12:14:39 PM	NaN
12:14:40 PM	NaN
12:14:40 PM	NaN
12:14:41 PM	NaN
12:14:41 PM	NaN
12:14:42 PM	NaN
12:14:42 PM	NaN
12:14:43 PM	NaN
12:14:43 PM	NaN
12:14:44 PM	NaN
12:14:44 PM	NaN
12:14:45 PM	NaN
12:14:45 PM	NaN
12:14:46 PM	NaN
12:14:46 PM	NaN
12:14:47 PM	NaN
12:14:47 PM	NaN
12:14:48 PM	NaN
12:14:48 PM	NaN
12:14:49 PM	NaN
12:14:49 PM	NaN
12:14:50 PM	NaN
12:14:50 PM	NaN
12:14:51 PM	NaN
12:14:51 PM	NaN
12:14:52 PM	NaN
12:14:52 PM	NaN
12:14:53 PM	NaN
12:14:53 PM	NaN
12:14:54 PM	NaN
12:14:54 PM	NaN
12:14:55 PM	NaN
12:14:55 PM	NaN
12:14:56 PM	NaN
12:14:56 PM	NaN
12:14:57 PM	NaN
12:14:57 PM	NaN
12:14:58 PM	NaN
12:14:58 PM	NaN
12:14:59 PM	NaN
12:14:59 PM	NaN
12:15:00 PM	NaN
12:15:00 PM	NaN
12:15:01 PM	NaN
12:15:01 PM	NaN
12:15:02 PM	NaN
12:15:02 PM	NaN
12:15:03 PM	NaN
12:15:03 PM	NaN
12:15:04 PM	NaN
12:15:04 PM	NaN
12:15:05 PM	NaN
12:15:05 PM	NaN
12:15:06 PM	NaN
12:15:06 PM	NaN
12:15:07 PM	NaN
12:15:07 PM	NaN
12:15:08 PM	NaN
12:15:08 PM	NaN
12:15:09 PM	NaN
12:15:09 PM	NaN
12:15:10 PM	NaN
12:15:10 PM	NaN
12:15:11 PM	NaN
12:15:11 PM	NaN
12:15:12 PM	NaN
12:15:12 PM	NaN
12:15:13 PM	NaN
12:15:13 PM	NaN
12:15:14 PM	NaN
12:15:14 PM	NaN
12:15:15 PM	NaN
12:15:15 PM	NaN
12:15:16 PM	NaN
12:15:16 PM	NaN
12:15:17 PM	NaN
12:15:17 PM	NaN
12:15:18 PM	NaN
12:15:18 PM	NaN
12:15:19 PM	NaN
12:15:19 PM	NaN
12:15:20 PM	NaN
12:15:20 PM	NaN
12:15:21 PM	NaN
12:15:21 PM	NaN
12:15:22 PM	NaN
12:15:22 PM	NaN
12:15:23 PM	NaN
12:15:23 PM	NaN
12:15:24 PM	NaN
12:15:24 PM	NaN
12:15:25 PM	NaN
12:15:25 PM	NaN
12:15:26 PM	NaN
12:15:26 PM	NaN
12:15:27 PM	NaN
12:15:27 PM	NaN
12:15:28 PM	NaN
12:15:28 PM	NaN
12:15:29 PM	NaN
12:15:29 PM	NaN
12:15:30 PM	NaN
12:15:30 PM	NaN
12:15:31 PM	NaN
12:15:31 PM	NaN
12:15:32 PM	NaN
12:15:32 PM	NaN
12:15:33 PM	NaN
12:15:33 PM	NaN
12:15:34 PM	NaN
12:15:34 PM	NaN
12:15:35 PM	NaN
12:15:35 PM	NaN
12:15:36 PM	NaN
12:15:36 PM	NaN
12:15:37 PM	NaN
12:15:37 PM	NaN
12:15:38 PM	NaN
12:15:38 PM	NaN
12:15:39 PM	NaN
12:15:39 PM	NaN
12:15:40 PM	NaN
12:15:40 PM	NaN
12:15:41 PM	NaN
12:15:41 PM	NaN
12:15:42 PM	NaN
12:15:42 PM	NaN
12:15:43 PM	NaN
12:15:43 PM	NaN
12:15:44 PM	NaN
12:15:44 PM	NaN
12:15:45 PM	NaN
12:15:45 PM	NaN
12:15:46 PM	NaN
12:15:46 PM	NaN
12:15:47 PM	NaN
12:15:47 PM	NaN
12:15:48 PM	NaN
12:15:48 PM	NaN
12:15:49 PM	NaN
12:15:49 PM	NaN
12:15:50 PM	NaN
12:15:50 PM	NaN
12:15:51 PM	NaN
12:15:51 PM	NaN
12:15:52 PM	NaN
12:15:52 PM	NaN
12:15:53 PM	NaN
12:15:53 PM	NaN
12:15:54 PM	NaN
12:15:54 PM	NaN
12:15:55 PM	NaN
12:15:55 PM	NaN
12:15:56 PM	NaN
12:15:56 PM	NaN
12:15:57 PM	NaN
12:15:57 PM	NaN
12:15:58 PM	NaN
12:15:58 PM	NaN
12:15:59 PM	NaN
12:15:59 PM	NaN
12:16:00 PM	NaN
12:16:00 PM	NaN
12:16:01 PM	NaN
12:16:01 PM	NaN
12:16:02 PM	NaN
12:16:02 PM	NaN
12:16:03 PM	NaN
12:16:03 PM	NaN
12:16:04 PM	NaN
12:16:05 PM	NaN
12:16:05 PM	NaN
12:16:06 PM	NaN
12:16:06 PM	NaN
12:16:07 PM	NaN
12:16:07 PM	NaN
12:16:08 PM	NaN
12:16:08 PM	NaN
12:16:09 PM	NaN
12:16:09 PM	NaN
12:16:10 PM	NaN
12:16:10 PM	NaN
12:16:11 PM	NaN
12:16:11 PM	NaN
12:16:12 PM	NaN
12:16:12 PM	NaN
12:16:13 PM	NaN
12:16:13 PM	NaN
12:16:14 PM	NaN
12:16:14 PM	NaN
12:16:15 PM	NaN
12:16:15 PM	NaN
12:16:16 PM	NaN
12:16:16 PM	NaN
12:16:17 PM	NaN
12:16:17 PM	NaN
12:16:18 PM	NaN
12:16:18 PM	NaN
12:16:19 PM	NaN
12:16:19 PM	NaN
12:16:20 PM	NaN
12:16:20 PM	NaN
12:16:21 PM	NaN
12:16:21 PM	NaN
12:16:22 PM	NaN
12:16:22 PM	NaN
12:16:23 PM	NaN
12:16:23 PM	NaN
12:16:24 PM	NaN
12:16:24 PM	NaN
12:16:25 PM	NaN
12:16:25 PM	NaN
12:16:26 PM	NaN
12:16:26 PM	NaN
12:16:27 PM	NaN
12:16:27 PM	NaN
12:16:28 PM	NaN
12:16:28 PM	NaN
12:16:29 PM	NaN
12:16:29 PM	NaN
12:16:30 PM	NaN
12:16:30 PM	NaN
12:16:31 PM	NaN
12:16:31 PM	NaN
12:16:32 PM	NaN
12:16:32 PM	NaN
12:16:33 PM	NaN
12:16:33 PM	NaN
12:16:34 PM	NaN
12:16:34 PM	NaN
12:16:35 PM	NaN
12:16:35 PM	NaN
12:16:36 PM	NaN
12:16:36 PM	NaN
12:16:37 PM	NaN
12:16:37 PM	NaN
12:16:38 PM	NaN
12:16:38 PM	NaN
12:16:39 PM	NaN
12:16:39 PM	NaN
12:16:40 PM	NaN
12:16:40 PM	NaN
12:16:41 PM	NaN
12:16:41 PM	NaN
12:16:42 PM	NaN
12:16:42 PM	NaN
12:16:43 PM	NaN
12:16:43 PM	NaN
12:16:44 PM	NaN
12:16:44 PM	NaN
12:16:45 PM	NaN
12:16:45 PM	NaN
12:16:46 PM	NaN
12:16:46 PM	NaN
12:16:47 PM	NaN
12:16:47 PM	NaN
12:16:48 PM	NaN
12:16:48 PM	NaN
12:16:49 PM	NaN
12:16:49 PM	NaN
12:16:50 PM	NaN
12:16:50 PM	NaN
12:16:51 PM	NaN
12:16:51 PM	NaN
12:16:52 PM	NaN
12:16:52 PM	NaN
12:16:53 PM	NaN
12:16:53 PM	NaN
12:16:54 PM	NaN
12:16:54 PM	NaN
12:16:55 PM	NaN
12:16:55 PM	NaN
12:16:56 PM	NaN
12:16:56 PM	NaN
12:16:57 PM	NaN
12:16:57 PM	NaN
12:16:58 PM	NaN
12:16:58 PM	NaN
12:16:59 PM	NaN
12:16:59 PM	NaN
12:17:00 PM	NaN
12:17:00 PM	NaN
12:17:01 PM	NaN
12:17:01 PM	NaN
12:17:02 PM	NaN
12:17:02 PM	NaN
12:17:03 PM	NaN
12:17:03 PM	NaN
12:17:04 PM	NaN
12:17:04 PM	NaN
12:17:05 PM	NaN
12:17:05 PM	NaN
12:17:06 PM	NaN
12:17:06 PM	NaN
12:17:07 PM	NaN
12:17:07 PM	NaN
12:17:08 PM	NaN
12:17:08 PM	NaN
12:17:09 PM	NaN
12:17:09 PM	NaN
12:17:10 PM	NaN
12:17:10 PM	NaN
12:17:11 PM	NaN
12:17:11 PM	NaN
12:17:12 PM	NaN
12:17:12 PM	NaN
12:17:13 PM	NaN
12:17:13 PM	NaN
12:17:14 PM	NaN
12:17:14 PM	NaN
12:17:15 PM	NaN
12:17:15 PM	NaN
12:17:16 PM	NaN
12:17:16 PM	NaN
12:17:17 PM	NaN
12:17:17 PM	NaN
12:17:18 PM	NaN
12:17:18 PM	NaN
12:17:19 PM	NaN
12:17:19 PM	NaN
12:17:20 PM	NaN
12:17:20 PM	NaN
12:17:21 PM	NaN
12:17:21 PM	NaN
12:17:22 PM	NaN
12:17:22 PM	NaN
12:17:23 PM	NaN
12:17:23 PM	NaN
12:17:24 PM	NaN
12:17:24 PM	NaN
12:17:25 PM	NaN
12:17:25 PM	NaN
12:17:26 PM	NaN
12:17:26 PM	NaN
12:17:27 PM	NaN
12:17:27 PM	NaN
12:17:28 PM	NaN
12:17:28 PM	NaN
12:17:29 PM	NaN
12:17:29 PM	NaN
12:17:30 PM	NaN
12:17:30 PM	NaN
12:17:31 PM	NaN
12:17:31 PM	NaN
12:17:32 PM	NaN
12:17:32 PM	NaN
12:17:33 PM	NaN
12:17:33 PM	NaN
12:17:34 PM	NaN
12:17:34 PM	NaN
12:17:35 PM	NaN
12:17:35 PM	NaN
12:17:36 PM	NaN
12:17:36 PM	NaN
12:17:37 PM	NaN
12:17:37 PM	NaN
12:17:38 PM	NaN
12:17:38 PM	NaN
12:17:39 PM	NaN
12:17:39 PM	NaN
12:17:40 PM	NaN
12:17:40 PM	NaN
12:17:41 PM	NaN
12:17:41 PM	NaN
12:17:42 PM	NaN
12:17:42 PM	NaN
12:17:43 PM	NaN
12:17:43 PM	NaN
12:17:44 PM	NaN
12:17:44 PM	NaN
12:17:45 PM	NaN
12:17:45 PM	NaN
12:17:46 PM	NaN
